"filename", "language", "Markdown", "PlantUML", "XML", "C#", "MS SQL", "YAML", "JSON", "PostCSS", "JavaScript", "ASP.NET Razor", "comment", "blank", "total"
"c:\Users\Gilles\Desktop\UNI\Semester 6\Code\Codebase\Scripting-Proof-of-Concept\diagrams\scripting\src\ScriptingFramework\GeneratorContexts.puml", "PlantUML", 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"c:\Users\Gilles\Desktop\UNI\Semester 6\Code\Codebase\Scripting-Proof-of-Concept\diagrams\scripting\src\ScriptingFramework\GeneratorScripts.puml", "PlantUML", 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9
"c:\Users\Gilles\Desktop\UNI\Semester 6\Code\Codebase\Scripting-Proof-of-Concept\diagrams\scripting\src\ScriptingServiceCollectionExtensions.puml", "PlantUML", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"c:\Users\Gilles\Desktop\UNI\Semester 6\Code\Codebase\Scripting-Proof-of-Concept\sandbox.Tests\MSTestSettings.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"c:\Users\Gilles\Desktop\UNI\Semester 6\Code\Codebase\Scripting-Proof-of-Concept\sandbox.Tests\Tests\TestAssemblyInit.cs", "C#", 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 18, 5, 25
"c:\Users\Gilles\Desktop\UNI\Semester 6\Code\Codebase\Scripting-Proof-of-Concept\sandbox.Tests\Tests\Unit\DbHelperTests.cs", "C#", 0, 0, 0, 213, 0, 0, 0, 0, 0, 0, 15, 56, 284
"c:\Users\Gilles\Desktop\UNI\Semester 6\Code\Codebase\Scripting-Proof-of-Concept\sandbox.Tests\Tests\Unit\EmberVersioningTests.cs", "C#", 0, 0, 0, 178, 0, 0, 0, 0, 0, 0, 4, 23, 205
"c:\Users\Gilles\Desktop\UNI\Semester 6\Code\Codebase\Scripting-Proof-of-Concept\sandbox.Tests\Tests\Unit\FacadeTests.cs", "C#", 0, 0, 0, 384, 0, 0, 0, 0, 0, 0, 73, 129, 586
"c:\Users\Gilles\Desktop\UNI\Semester 6\Code\Codebase\Scripting-Proof-of-Concept\sandbox.Tests\Tests\Unit\SandboxTests.cs", "C#", 0, 0, 0, 232, 0, 0, 0, 0, 0, 0, 5, 49, 286
"c:\Users\Gilles\Desktop\UNI\Semester 6\Code\Codebase\Scripting-Proof-of-Concept\sandbox.Tests\Tests\Unit\ScriptTests.cs", "C#", 0, 0, 0, 151, 0, 0, 0, 0, 0, 0, 42, 31, 224
"c:\Users\Gilles\Desktop\UNI\Semester 6\Code\Codebase\Scripting-Proof-of-Concept\sandbox.Tests\Tests\Unit\UpdateScriptTests.cs", "C#", 0, 0, 0, 78, 0, 0, 0, 0, 0, 0, 2, 8, 88
"c:\Users\Gilles\Desktop\UNI\Semester 6\Code\Codebase\Scripting-Proof-of-Concept\sandbox.Tests\sandbox.Tests.csproj", "XML", 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 6, 25
"c:\Users\Gilles\Desktop\UNI\Semester 6\Code\Codebase\Scripting-Proof-of-Concept\sandbox\Program.cs", "C#", 0, 0, 0, 337, 0, 0, 0, 0, 0, 0, 19, 71, 427
"c:\Users\Gilles\Desktop\UNI\Semester 6\Code\Codebase\Scripting-Proof-of-Concept\sandbox\docker-compose.yml", "YAML", 0, 0, 0, 0, 0, 28, 0, 0, 0, 0, 1, 3, 32
"c:\Users\Gilles\Desktop\UNI\Semester 6\Code\Codebase\Scripting-Proof-of-Concept\sandbox\init.sql", "MS SQL", 0, 0, 0, 0, 29, 0, 0, 0, 0, 0, 11, 1, 41
"c:\Users\Gilles\Desktop\UNI\Semester 6\Code\Codebase\Scripting-Proof-of-Concept\sandbox\sandbox.csproj", "XML", 0, 0, 42, 0, 0, 0, 0, 0, 0, 0, 7, 12, 61
"c:\Users\Gilles\Desktop\UNI\Semester 6\Code\Codebase\Scripting-Proof-of-Concept\sandbox\src\EmberMethods.cs", "C#", 0, 0, 0, 286, 0, 0, 0, 0, 0, 0, 83, 47, 416
"c:\Users\Gilles\Desktop\UNI\Semester 6\Code\Codebase\Scripting-Proof-of-Concept\sandbox\src\InternalClassesForTesting\HelperServices.cs", "C#", 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 4, 5, 34
"c:\Users\Gilles\Desktop\UNI\Semester 6\Code\Codebase\Scripting-Proof-of-Concept\sandbox\src\InternalClassesForTesting\LabOrder.cs", "C#", 0, 0, 0, 87, 0, 0, 0, 0, 0, 0, 97, 36, 220
"c:\Users\Gilles\Desktop\UNI\Semester 6\Code\Codebase\Scripting-Proof-of-Concept\sandbox\src\InternalClassesForTesting\Patient.cs", "C#", 0, 0, 0, 49, 0, 0, 0, 0, 0, 0, 4, 8, 61
"c:\Users\Gilles\Desktop\UNI\Semester 6\Code\Codebase\Scripting-Proof-of-Concept\sandbox\src\InternalClassesForTesting\Test.cs", "C#", 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 4, 26
"c:\Users\Gilles\Desktop\UNI\Semester 6\Code\Codebase\Scripting-Proof-of-Concept\sandbox\src\InternalClassesForTesting\Vaccine.cs", "C#", 0, 0, 0, 41, 0, 0, 0, 0, 0, 0, 1, 8, 50
"c:\Users\Gilles\Desktop\UNI\Semester 6\Code\Codebase\Scripting-Proof-of-Concept\sandbox\src\LoggerForScripting.cs", "C#", 0, 0, 0, 46, 0, 0, 0, 0, 0, 0, 8, 10, 64
"c:\Users\Gilles\Desktop\UNI\Semester 6\Code\Codebase\Scripting-Proof-of-Concept\sandbox\src\ScriptingFramework\ActionResult.cs", "C#", 0, 0, 0, 90, 0, 0, 0, 0, 0, 0, 8, 15, 113
"c:\Users\Gilles\Desktop\UNI\Semester 6\Code\Codebase\Scripting-Proof-of-Concept\sandbox\src\ScriptingFramework\GeneratorContexts.cs", "C#", 0, 0, 0, 215, 0, 0, 0, 0, 0, 0, 9, 50, 274
"c:\Users\Gilles\Desktop\UNI\Semester 6\Code\Codebase\Scripting-Proof-of-Concept\sandbox\src\ScriptingFramework\GeneratorScripts.cs", "C#", 0, 0, 0, 68, 0, 0, 0, 0, 0, 0, 16, 14, 98
"c:\Users\Gilles\Desktop\UNI\Semester 6\Code\Codebase\Scripting-Proof-of-Concept\sandbox\src\ScriptingFramework\ScriptFactory.cs", "C#", 0, 0, 0, 111, 0, 0, 0, 0, 0, 0, 63, 16, 190
"c:\Users\Gilles\Desktop\UNI\Semester 6\Code\Codebase\Scripting-Proof-of-Concept\sandbox\src\Scripts\ActionScripts\AddPediatricTestsV1.cs", "C#", 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 6, 3, 27
"c:\Users\Gilles\Desktop\UNI\Semester 6\Code\Codebase\Scripting-Proof-of-Concept\sandbox\src\Scripts\ActionScripts\AddPediatricTestsV2.cs", "C#", 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 25, 12, 58
"c:\Users\Gilles\Desktop\UNI\Semester 6\Code\Codebase\Scripting-Proof-of-Concept\sandbox\src\Scripts\ActionScripts\AddPediatricTestsV3.cs", "C#", 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 23, 13, 58
"c:\Users\Gilles\Desktop\UNI\Semester 6\Code\Codebase\Scripting-Proof-of-Concept\sandbox\src\Scripts\ActionScripts\VaccineScript.cs", "C#", 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 15, 6, 38
"c:\Users\Gilles\Desktop\UNI\Semester 6\Code\Codebase\Scripting-Proof-of-Concept\sandbox\src\Scripts\ConditionScripts\PediatricCondition.cs", "C#", 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 8, 6, 31
"c:\Users\Gilles\Desktop\UNI\Semester 6\Code\Codebase\Scripting-Proof-of-Concept\scripting\scripting.csproj", "XML", 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 3, 16
"c:\Users\Gilles\Desktop\UNI\Semester 6\Code\Codebase\Scripting-Proof-of-Concept\scripting\src\CompilationAndExecution\ContextVersionScanner.cs", "C#", 0, 0, 0, 69, 0, 0, 0, 0, 0, 0, 47, 24, 140
"c:\Users\Gilles\Desktop\UNI\Semester 6\Code\Codebase\Scripting-Proof-of-Concept\scripting\src\CompilationAndExecution\ScriptCompiler.cs", "C#", 0, 0, 0, 274, 0, 0, 0, 0, 0, 0, 31, 44, 349
"c:\Users\Gilles\Desktop\UNI\Semester 6\Code\Codebase\Scripting-Proof-of-Concept\scripting\src\CompilationAndExecution\ScriptExecutor.cs", "C#", 0, 0, 0, 119, 0, 0, 0, 0, 0, 0, 1, 22, 142
"c:\Users\Gilles\Desktop\UNI\Semester 6\Code\Codebase\Scripting-Proof-of-Concept\scripting\src\DbFiles\CustomerScript.cs", "C#", 0, 0, 0, 71, 0, 0, 0, 0, 0, 0, 9, 18, 98
"c:\Users\Gilles\Desktop\UNI\Semester 6\Code\Codebase\Scripting-Proof-of-Concept\scripting\src\DbFiles\DbHelper.cs", "C#", 0, 0, 0, 731, 0, 0, 0, 0, 0, 0, 52, 69, 852
"c:\Users\Gilles\Desktop\UNI\Semester 6\Code\Codebase\Scripting-Proof-of-Concept\scripting\src\DbFiles\EmberInstances.cs", "C#", 0, 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 10, 37
"c:\Users\Gilles\Desktop\UNI\Semester 6\Code\Codebase\Scripting-Proof-of-Concept\scripting\src\DbFiles\MyContext.cs", "C#", 0, 0, 0, 31, 0, 0, 0, 0, 0, 0, 0, 6, 37
"c:\Users\Gilles\Desktop\UNI\Semester 6\Code\Codebase\Scripting-Proof-of-Concept\scripting\src\DbFiles\ScriptCompiledCache.cs", "C#", 0, 0, 0, 38, 0, 0, 0, 0, 0, 0, 4, 11, 53
"c:\Users\Gilles\Desktop\UNI\Semester 6\Code\Codebase\Scripting-Proof-of-Concept\scripting\src\Exceptions\Exceptions.cs", "C#", 0, 0, 0, 152, 0, 0, 0, 0, 0, 0, 0, 23, 175
"c:\Users\Gilles\Desktop\UNI\Semester 6\Code\Codebase\Scripting-Proof-of-Concept\scripting\src\ScriptManager.cs\IScripManagerAdvanced.cs", "C#", 0, 0, 0, 31, 0, 0, 0, 0, 0, 0, 206, 56, 293
"c:\Users\Gilles\Desktop\UNI\Semester 6\Code\Codebase\Scripting-Proof-of-Concept\scripting\src\ScriptManager.cs\IScriptManager.cs", "C#", 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 7, 4, 16
"c:\Users\Gilles\Desktop\UNI\Semester 6\Code\Codebase\Scripting-Proof-of-Concept\scripting\src\ScriptManager.cs\IScriptManagerDeleteAfter.cs", "C#", 0, 0, 0, 49, 0, 0, 0, 0, 0, 0, 140, 52, 241
